,Description,commenting,ogling,groping,cleaned_text
191,a girl witnessed somebody clicking her pictures although not sure.,0,0,0,girl witnessed somebody clicking picture although not sure
192,I was going to Church on a Sunday when I met a drunkard old man.  He called me and I ignored then he started abusing me saying quotmalaya wewequot meaning you are a prostitute.,1,0,0,going church sunday met drunkard old man called ignored started abusing saying quotmalaya wewequot meaning prostitute
193,A girl was brutally beaten by 23 boys for unknown reasons and no one came forward to help her.It happened in November 2012 in the evening.,0,0,0,girl brutally beaten 23 boy unknown reason no one came forward help happened november 2012 evening
194,eve teasing ...using bad words,1,0,0,eve teasing using bad word
195,called me on the terrace with a greed of chocolates. Followed me to the bus stop for 3 days,0,0,0,called terrace greed chocolate followed bus stop 3 day
196,"Taking advantage of crowd , guys were trying to touch me during evening hours .",0,0,1,taking advantage crowd guy trying touch evening hour
197,walking back home and suddenly some group of boys grouped around me just trying to talk.It happened in the evening.,1,1,0,walking back home suddenly group boy grouped around trying talk happened evening
198,Harassed in the evening at GK too,1,1,0,harassed evening gk
199,misbehaved,0,0,1,misbehaved
200,"Found out about this site recently. Some guy kept walking behind me for quite some time. each time I looked back, he would somehow disappear in the crowd. A few steps later, I felt something jabbing at my hips. I spun around and there he was, practically an inch from me. I couldn't get a good look at his face due to his shaggy lank hair which reached his chin. He quickly backed off before I could raise an alarm. The most surprising part was that the  bus stand was jam packed. many people must have noticed but none bothered to interfere. I request all to please beware of such filthy louts.",0,0,1,found site recently guy kept walking behind quite time time looked back would somehow disappear crowd step later felt something jabbing hip spun around practically inch get good look face due shaggy lank hair reached chin quickly backed could raise alarm surprising part bus stand jam packed many people must noticed none bothered interfere request please beware filthy lout
201,I was physically touched by a man inside a public bus.,0,0,1,physically touched man inside public bus
202,A art and craft group started sending nude pictures of girls and started in line of prostitution.,1,1,1,art craft group started sending nude picture girl started line prostitution
203,A man tried to sexually assault me,0,0,1,man tried sexually assault
204,the market area is very crowded and we can not stop going there. men and boys there will pass us by and touch us and will make excuse that they dont have enough place to go. they also comment on us.,1,0,1,market area crowded not stop going men boy pas u touch u make excuse dont enough place go also comment u
205,harassed in the bus,0,0,0,harassed bus
206,34 men staring and started commenting. Sort of eve teasing.,1,1,0,34 men staring started commenting sort eve teasing
207,"Catcalls,commenting,touching and others in old delhi.",1,0,1,catcall commenting touching others old delhi
208,"whenever i pass that area, shopkeepers comment and then they sometimes give me sexual invites.",1,0,0,whenever pas area shopkeeper comment sometimes give sexual invite
209,"a biker tried touching my breasts, I pushed him, he fell off the bike and hurt himself and started abusing me, I called the police",1,0,1,biker tried touching breast pushed fell bike hurt started abusing called police
210,teacher beating student,0,0,0,teacher beating student
211,"In one of the festival of newars, I saw a live harassment to the girl by group of boys. They were touching here and there part of the girls",0,0,1,one festival newars saw live harassment girl group boy touching part girl
212,there is a boy who lied to me and took me to his friend and he slept with me for 3 days until my mum complained and that is when he threw me out of his house at night,0,0,0,boy lied took friend slept 3 day mum complained threw house night
213,the boys were commenting and trying to grope as we were in a crowded place,1,0,0,boy commenting trying grope crowded place
